"RiskPerformance","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance","MSinceOldestTradeOpen","InqInLast7days","ExternalRiskEstimate"
0,5,53,29,0,4,1,7,8,2,27,2,1,43,48,9,5,3,64,84,0,72
1,10,45,20,0,2,2,4,6,1,20,2,0,14,71,4,2,1,50,88,0,65
1,5,55,19,1,2,2,0,2,2,50,2,2,24,81,6,3,1,82,91,0,64
1,4,79,25,2,3,5,0,5,2,48,2,1,63,50,8,2,0,91,265,0,58
1,17,72,18,2,1,3,4,5,0,45,2,1,79,38,7,3,0,91,150,0,58
1,8,94,17,0,4,1,7,8,1,29,2,0,28,-8,3,1,1,57,162,0,79
1,33,107,15,2,2,3,4,4,0,53,2,1,19,50,3,2,1,63,284,0,66
1,9,157,38,4,4,1,6,8,1,36,2,4,50,54,14,2,4,89,476,0,69
0,4,62,15,3,2,6,6,2,4,33,2,5,5,9,1,1,0,22,179,0,71
1,13,49,9,3,1,3,0,2,0,27,2,0,62,14,6,2,1,100,114,0,54
1,8,44,39,2,4,1,6,8,4,67,2,2,15,73,5,2,0,50,133,0,68
0,5,66,19,0,4,1,7,8,2,21,2,0,53,92,5,1,1,55,164,0,75
1,7,37,23,2,2,6,6,2,5,42,2,0,31,70,5,3,1,67,118,0,67
0,34,92,13,0,4,1,7,8,0,7,2,0,1,-8,1,0,0,25,153,0,88
1,14,96,22,3,2,2,0,2,0,56,2,4,79,50,5,3,3,100,186,1,51
1,26,57,23,0,3,1,6,6,0,13,2,0,51,-8,9,0,1,67,127,0,70
1,11,37,14,1,3,6,6,2,1,13,2,2,52,-8,3,1,2,56,116,0,65
1,5,13,11,0,4,1,7,8,5,64,2,3,7,-8,3,0,0,75,21,0,78
0,19,90,13,0,4,1,7,8,0,62,2,0,0,44,0,2,0,50,318,0,86
0,14,73,11,0,4,1,7,8,0,62,2,0,1,71,1,4,0,71,230,0,90
1,5,74,33,0,4,1,7,8,1,38,2,2,37,-8,13,1,0,88,293,0,76
1,5,20,19,0,4,1,7,8,2,20,2,3,42,73,2,2,1,50,37,0,70
1,17,100,40,0,4,1,7,8,0,23,2,1,79,-8,18,1,13,80,255,0,73
1,3,95,41,0,4,1,7,8,3,38,2,1,42,-8,7,2,2,82,209,0,72
0,4,118,29,0,4,1,7,8,2,31,2,3,22,87,6,3,0,69,398,0,83
0,8,111,26,0,4,1,7,8,1,40,2,0,12,89,3,2,0,56,326,0,87
1,7,59,19,0,2,3,4,6,1,53,2,1,97,90,8,2,6,100,114,0,55
1,13,97,44,0,2,2,4,6,0,32,2,9,63,-8,9,0,6,60,478,0,65
1,24,91,15,0,4,1,7,8,0,41,2,5,57,32,2,2,0,67,197,0,78
0,18,77,35,0,3,6,6,6,0,36,2,2,20,-8,4,1,0,56,243,0,79
1,19,92,21,0,4,1,7,8,0,27,2,0,88,91,9,3,5,93,183,0,75
1,9,96,20,0,3,5,5,6,1,30,2,0,74,71,8,4,3,86,176,0,70
1,7,74,42,0,3,5,5,6,3,49,2,3,10,19,8,2,0,67,368,0,78
1,15,124,22,0,4,1,7,8,0,39,2,0,57,-8,4,1,1,100,300,0,75
1,12,54,14,0,4,1,7,8,1,40,2,0,32,96,4,2,0,75,150,0,76
1,9,62,10,0,4,1,7,8,1,18,2,5,60,82,7,1,0,100,168,0,72
1,5,69,12,7,1,3,3,3,2,27,2,2,79,79,5,2,2,88,118,0,55
1,31,123,24,0,2,5,6,6,0,25,2,0,45,-8,12,1,2,93,277,0,74
1,2,62,11,1,2,3,3,5,1,29,2,5,37,101,5,2,2,70,174,0,63
1,10,66,34,0,4,1,7,8,1,62,2,1,24,92,3,4,0,78,137,0,81
0,10,78,18,0,4,1,7,8,1,83,2,0,0,64,1,3,0,80,126,0,81
1,12,79,38,1,2,4,4,6,1,50,2,1,63,78,7,4,4,86,243,0,59
1,12,81,43,0,3,3,4,6,1,39,2,2,36,64,3,4,1,47,176,0,66
1,6,60,21,1,3,6,6,3,1,52,2,4,66,82,4,3,1,78,169,0,72
0,8,94,38,0,4,1,7,8,2,18,2,1,27,69,11,2,2,72,409,0,73
1,11,122,17,0,4,1,7,8,1,72,2,0,0,36,0,2,0,50,419,0,86
1,101,209,6,0,4,1,7,8,0,43,2,0,0,-8,0,0,0,0,282,0,91
0,16,89,19,0,2,4,4,6,0,21,2,0,34,36,6,3,1,64,324,0,73
0,3,63,35,0,3,6,6,6,3,40,2,0,22,55,5,4,0,60,134,0,78
1,9,37,20,1,3,4,4,6,1,38,2,2,49,87,5,5,1,67,155,0,65
1,2,38,8,0,4,1,7,8,1,78,2,4,17,-8,2,1,0,100,70,1,75
0,9,109,8,0,4,1,7,8,1,50,2,0,33,-8,2,1,0,100,277,0,84
0,13,94,39,0,3,1,6,6,0,35,2,2,17,-8,6,5,0,61,294,0,75
0,18,141,9,4,2,3,3,4,0,50,2,1,28,-8,4,0,0,100,357,0,60
0,4,54,29,1,2,6,6,2,2,65,2,1,85,73,3,5,2,100,106,0,68
1,8,44,15,1,3,6,6,6,2,33,2,0,59,62,3,2,2,83,85,0,67
1,2,73,22,0,3,1,6,6,5,4,2,2,37,39,11,1,1,80,282,0,71
1,3,91,23,2,2,2,3,5,2,32,2,6,32,-8,5,0,0,67,204,0,50
1,20,99,5,1,2,5,6,6,0,80,2,0,40,75,1,2,0,100,151,0,62
1,3,75,16,0,4,1,5,8,8,30,2,0,78,92,6,2,4,67,333,0,70
1,7,79,14,1,2,5,6,5,2,53,2,0,81,75,3,3,2,86,307,0,58
0,18,17,1,0,4,1,9,8,0,100,2,0,-8,-8,0,0,0,-8,17,0,88
0,14,82,20,0,4,1,7,8,0,40,2,0,17,82,2,2,0,50,188,0,88
1,8,48,40,0,4,1,6,8,4,42,2,2,80,86,5,2,4,70,107,0,65
1,6,78,26,0,3,6,6,6,2,37,2,1,37,91,5,4,0,75,169,0,74
1,3,95,23,0,4,1,7,8,1,13,2,1,22,-8,4,1,1,43,282,0,78
0,8,110,41,0,3,6,6,6,4,57,2,0,44,76,4,5,2,69,378,0,74
0,12,103,39,0,3,1,6,6,1,36,2,0,46,73,5,4,1,69,311,0,77
1,3,79,25,0,2,5,5,6,3,37,2,12,63,63,13,3,4,94,299,1,67
0,7,32,11,2,3,5,5,2,5,17,2,3,83,42,5,2,2,100,76,0,56
0,21,103,13,0,4,1,7,8,0,57,1,0,0,19,2,3,0,71,211,0,88
1,3,59,21,0,4,1,7,8,4,36,1,4,43,112,4,6,0,83,169,0,75
1,3,69,17,0,3,5,6,6,4,33,1,3,42,81,3,4,3,58,127,0,66
0,3,91,20,0,4,1,7,8,2,39,1,2,36,-8,3,1,1,67,220,0,81
1,9,95,24,0,3,1,6,6,1,75,1,1,87,87,4,2,3,100,177,0,71
1,3,43,5,0,4,1,7,8,2,43,1,1,37,58,3,2,0,83,112,0,69
0,14,91,13,1,3,6,6,2,0,29,1,0,36,-8,1,1,1,40,150,0,74
1,22,109,27,1,2,3,4,6,0,21,1,1,101,79,15,1,11,94,224,0,56
1,10,89,23,0,2,2,4,6,1,52,1,0,49,75,4,4,1,80,243,0,65
0,16,154,14,0,4,1,7,8,0,47,1,0,7,79,2,2,0,80,152,0,92
0,4,108,10,0,4,1,7,8,1,64,1,1,2,41,1,3,0,67,150,0,91
0,7,90,19,1,4,1,7,8,1,32,1,0,6,52,1,2,0,50,183,0,73
1,2,80,14,1,2,4,4,6,3,69,1,4,58,60,3,4,1,88,255,0,66
1,13,59,26,0,4,1,7,8,0,54,1,1,1,-8,2,1,0,75,120,0,87
1,17,106,5,3,2,6,6,3,0,88,1,1,-8,144,0,4,0,100,246,0,64
1,3,40,5,1,2,6,6,4,4,43,1,0,77,-8,3,1,1,100,123,0,63
0,2,65,26,0,3,1,6,6,3,46,1,1,4,72,4,5,0,64,177,0,78
1,24,105,11,0,2,5,6,6,0,45,1,1,13,-8,1,1,0,100,212,0,75
0,10,110,24,5,2,6,6,2,1,31,1,5,5,73,2,2,0,71,224,0,68
1,7,96,24,3,2,6,6,2,3,63,1,2,53,77,6,4,2,92,208,0,61
1,3,79,16,0,1,3,4,6,1,47,1,3,55,77,7,3,1,91,203,0,63
1,6,109,11,1,3,5,6,3,1,31,1,0,94,-8,3,2,3,100,160,0,69
1,5,48,10,12,1,4,0,2,1,35,1,2,37,66,5,2,0,80,103,0,49
1,10,69,26,0,4,1,6,7,2,48,1,0,61,67,3,4,2,78,159,0,74
1,38,95,15,0,2,2,4,6,0,29,1,1,51,43,3,1,1,80,241,0,65
1,7,91,15,0,4,1,7,8,1,29,1,0,16,93,6,2,1,69,203,0,80
1,11,41,9,0,2,1,5,6,1,50,1,2,80,95,4,3,1,100,61,0,61
1,3,79,23,0,3,2,4,6,2,58,1,3,57,77,5,2,1,100,178,0,57
1,8,81,13,1,2,3,4,5,1,50,1,2,75,-8,3,2,1,100,131,0,59
1,16,94,6,1,2,5,6,5,0,14,1,0,48,-8,2,0,0,67,103,0,71
0,16,85,33,0,3,6,6,6,0,38,1,0,3,-8,3,2,0,56,168,0,86
0,4,62,28,0,4,1,7,8,5,11,1,4,17,-8,2,1,0,60,106,0,83
1,7,89,29,3,2,5,6,2,1,38,1,3,38,98,11,1,1,86,198,0,59
1,1,50,11,1,1,2,4,5,1,75,1,1,93,74,3,6,2,90,256,0,59
0,8,81,19,2,2,3,3,5,2,33,1,3,56,87,3,2,1,83,203,0,55
0,29,97,23,0,3,1,6,6,0,13,1,0,31,-8,4,0,0,57,258,0,75
1,4,16,3,0,4,1,7,8,2,67,1,16,0,-8,0,1,0,50,41,0,78
0,1,4,3,0,4,1,7,8,5,33,1,9,1,98,1,2,0,50,14,0,65
0,4,106,28,0,3,2,4,6,4,37,2,3,4,98,4,2,0,86,233,0,80
1,4,73,20,4,2,6,6,3,4,67,2,1,16,93,3,2,0,63,252,0,70
1,6,82,20,5,2,4,4,2,1,67,3,1,98,84,2,4,0,100,208,0,59
1,5,72,34,2,2,3,1,3,4,73,2,3,12,70,3,12,0,89,246,0,57
1,4,55,31,0,4,1,7,8,6,63,2,2,26,74,5,14,0,86,154,1,77
1,14,24,11,0,4,1,7,8,0,27,3,4,81,-8,6,1,2,88,37,0,65
1,3,46,8,0,4,1,7,8,1,33,2,1,66,48,5,2,1,88,97,0,67
1,7,77,25,0,4,1,7,8,4,36,2,3,54,100,11,1,1,100,136,0,73
1,9,113,27,0,4,1,7,8,1,23,4,0,40,78,9,3,1,68,190,0,73
1,18,93,46,0,4,1,7,8,0,36,5,0,41,-8,8,1,2,75,221,0,77
1,8,118,34,0,2,5,5,6,1,50,5,0,97,78,6,4,4,100,190,0,61
0,78,135,14,0,4,1,7,8,0,36,2,3,3,-8,2,1,0,43,242,0,86
0,4,36,34,0,4,1,7,8,3,26,4,0,66,81,21,4,5,96,132,0,66
1,9,108,33,0,2,2,4,6,2,36,2,4,48,78,5,3,3,62,178,0,64
0,7,100,35,0,4,1,7,8,1,43,3,1,18,61,6,4,0,71,245,0,79
0,4,84,21,0,3,1,5,7,1,71,3,1,42,69,3,3,1,75,159,0,76
1,20,22,3,2,4,1,6,8,0,100,2,4,-8,-8,0,1,0,100,27,0,62
0,4,128,54,0,3,1,6,6,3,41,2,4,25,97,6,3,0,90,244,0,81
0,8,120,36,0,4,1,7,8,1,39,2,1,1,20,3,4,0,50,241,0,85
1,6,69,12,0,4,1,7,8,2,42,2,2,85,100,2,2,2,83,160,0,75
1,3,65,25,0,4,1,7,8,3,42,2,3,40,70,5,3,2,73,132,0,72
1,5,68,32,1,3,6,6,3,5,21,2,5,43,45,12,4,3,76,179,0,71
0,41,190,23,1,2,3,4,4,0,52,3,0,75,27,4,3,1,88,256,0,65
0,4,65,51,0,3,2,4,6,3,27,2,11,80,-8,17,2,10,79,139,1,55
0,16,75,14,0,4,1,7,8,0,0,1,0,3,-8,3,0,0,50,137,0,89
1,21,99,24,2,2,2,4,5,0,38,3,1,42,67,6,3,2,69,222,0,50
0,4,69,24,1,2,6,5,2,3,62,2,5,69,83,8,4,1,100,218,0,70
1,6,65,59,1,3,2,4,6,5,36,2,12,44,91,7,5,1,92,156,1,55
1,14,57,15,5,2,5,6,2,0,71,3,2,6,66,1,2,0,75,82,0,69
0,12,93,29,2,2,6,0,6,1,24,5,0,67,-8,11,1,3,100,247,0,62
0,6,67,22,0,4,1,7,8,2,55,3,0,3,92,1,3,0,44,112,0,87
0,11,64,30,0,2,2,4,6,3,34,2,1,17,99,2,10,0,67,129,0,65
1,8,33,23,0,4,1,7,8,3,33,2,2,58,97,8,2,4,63,93,0,66
1,46,159,4,0,4,1,7,8,0,50,1,0,53,-8,1,0,0,100,154,0,85
0,2,93,37,0,4,1,7,8,5,16,2,3,19,-8,4,2,1,35,212,0,81
0,4,74,27,2,2,5,6,4,5,45,2,4,11,91,1,4,0,56,321,0,65
0,8,55,24,0,2,4,4,6,2,33,2,2,13,78,2,2,0,31,338,0,65
0,6,87,28,0,4,1,7,8,5,38,2,3,11,49,5,3,0,73,195,0,85
0,4,58,31,1,3,4,4,2,4,56,3,2,18,62,5,6,1,79,145,0,67
0,14,120,14,0,4,1,7,8,0,35,3,1,11,-8,2,1,0,60,352,0,92
1,5,123,5,1,4,1,6,8,2,40,3,5,83,80,1,2,1,100,205,0,66
1,9,59,15,2,2,3,4,6,1,81,2,11,13,59,2,4,0,100,135,1,62
1,2,79,31,3,3,6,5,2,7,85,2,2,13,97,1,4,0,100,433,0,62
0,7,56,17,2,2,4,4,5,3,55,2,1,16,92,3,8,0,73,175,0,69
1,43,151,10,0,2,6,6,6,0,40,5,0,5,-8,1,0,0,33,344,0,83
1,14,67,8,4,2,6,6,4,0,50,3,1,93,71,1,2,1,100,140,0,57
1,7,125,38,3,2,6,6,2,2,48,3,1,45,75,8,3,4,65,307,0,66
1,5,145,34,0,3,6,6,6,4,27,3,3,80,53,17,3,12,83,502,0,66
1,7,94,26,0,2,3,4,6,1,54,3,0,52,77,5,4,1,82,277,0,64
0,17,104,18,0,4,1,7,8,0,68,4,0,29,34,3,3,0,86,334,0,81
0,3,85,35,0,3,5,6,6,3,24,2,3,38,-8,5,1,2,50,307,0,63
1,7,77,23,0,4,1,7,8,2,42,2,3,105,94,6,2,6,100,133,0,66
1,3,145,32,0,2,3,4,6,1,27,5,0,56,85,15,2,6,78,338,0,61
0,14,74,10,0,4,1,7,8,0,50,5,0,12,34,4,2,0,86,182,0,85
0,8,57,45,0,4,1,7,8,2,74,4,0,34,97,4,12,0,73,145,0,72
0,19,72,8,0,4,1,7,8,0,25,5,0,17,62,2,1,0,75,267,0,85
1,9,106,25,0,3,4,4,6,1,56,3,1,6,77,2,3,0,56,340,0,78
0,3,112,18,0,4,1,7,8,2,57,2,3,26,100,3,2,0,83,439,0,86
0,6,67,19,1,2,5,6,5,2,57,3,0,39,66,2,3,0,100,139,0,70
1,8,124,55,0,3,4,4,6,2,39,3,0,32,48,6,4,2,57,295,0,62
0,2,103,16,0,4,1,7,8,3,47,4,0,25,22,4,3,1,89,286,0,82
0,9,117,40,0,4,1,7,8,2,42,2,5,34,-8,4,0,2,45,311,0,75
0,5,40,9,0,4,1,7,8,2,33,2,3,80,55,5,2,3,88,111,0,66
1,28,174,5,0,4,1,7,8,0,0,2,1,0,-8,0,0,0,0,399,0,93
1,17,48,17,1,2,5,6,5,0,61,3,1,44,77,1,2,0,75,85,0,67
1,2,52,22,1,2,6,6,6,3,38,2,5,29,77,4,3,2,58,103,0,64
1,8,38,7,0,4,1,7,8,1,57,3,1,91,52,1,2,1,75,90,0,67
0,2,54,35,0,4,1,7,8,1,25,2,2,8,42,2,3,0,67,99,0,81
0,11,129,20,0,2,3,4,6,1,20,1,0,8,84,1,1,0,50,415,0,80
0,3,85,11,0,4,1,7,8,1,38,5,1,20,-8,2,1,1,38,288,1,84
0,10,93,19,0,4,1,7,8,1,53,3,0,0,-8,1,1,0,29,209,0,88
0,39,92,12,0,4,1,7,8,0,17,5,0,33,-8,4,0,0,100,163,0,82
1,2,73,35,0,2,2,4,6,4,28,2,8,16,86,10,4,2,68,281,0,60
1,5,67,18,2,2,2,4,5,2,58,2,5,0,53,0,4,0,63,164,0,60
0,2,90,27,1,3,5,6,5,3,16,2,1,3,-8,8,2,0,59,407,0,75
1,5,74,38,0,3,3,4,6,2,33,2,2,48,45,12,3,3,83,191,0,59
0,5,74,35,0,4,1,7,8,5,44,2,4,41,97,1,3,0,80,180,0,75
0,24,65,23,0,4,1,7,8,0,39,2,1,25,70,3,4,1,62,116,0,73
0,8,71,21,0,4,1,7,8,1,38,5,0,10,50,2,2,0,67,126,0,87
0,5,96,31,0,4,1,7,8,1,42,2,3,2,-8,1,1,0,20,244,0,90
0,4,42,13,7,4,1,6,8,2,15,2,1,53,58,6,2,1,89,69,0,63
0,2,106,21,0,4,1,6,7,1,29,2,1,2,74,5,2,0,64,363,0,89
0,2,82,35,0,4,1,7,8,5,42,2,1,12,100,2,2,0,44,154,0,82
0,34,131,23,1,4,1,0,8,0,35,1,0,3,48,3,3,0,55,253,0,70
0,3,68,32,0,3,4,4,6,5,34,2,3,13,0,2,4,0,67,170,0,76
0,8,101,23,1,3,6,6,6,1,63,4,0,47,70,4,4,0,89,325,0,75
0,5,87,31,0,3,6,6,6,3,55,3,1,31,64,4,2,0,60,220,0,76
1,8,70,40,0,4,1,7,8,4,30,2,9,83,77,10,5,6,79,145,1,65
1,12,142,20,1,1,2,4,5,1,50,3,13,9,32,4,4,2,62,293,0,65
1,58,258,8,0,4,1,7,8,0,0,2,1,1,-8,3,0,0,50,474,0,92
1,5,69,54,2,3,6,6,5,4,25,2,2,19,62,6,4,0,57,234,0,66
1,4,87,34,0,3,5,6,6,7,35,2,2,34,47,8,7,2,71,432,0,64
1,4,67,25,0,2,2,4,6,1,34,2,0,57,75,4,2,2,67,130,0,63
1,13,74,15,0,3,6,6,6,0,13,2,1,89,-8,7,1,5,100,251,0,61
0,13,77,25,0,4,1,7,8,0,40,2,0,17,42,2,4,1,50,280,0,76
1,9,34,26,0,3,4,4,6,2,15,2,3,56,70,4,1,1,67,125,0,60
0,5,108,28,0,4,1,7,8,2,20,2,1,10,66,4,2,0,55,408,0,89
0,9,96,26,0,4,1,7,8,1,19,2,1,4,-8,3,1,0,25,271,0,85
1,12,144,9,2,1,6,4,5,1,36,2,3,68,15,2,3,1,100,274,0,58
0,6,73,4,3,2,6,6,2,1,33,2,1,57,-8,2,1,0,100,162,0,64
0,6,74,16,0,4,1,7,8,1,11,2,0,25,101,7,1,1,80,306,0,81
1,6,37,29,0,3,5,6,6,3,57,2,1,43,85,5,3,2,73,82,0,56
1,5,56,35,5,3,3,4,2,3,65,2,0,100,45,1,2,0,100,99,0,55
1,7,93,13,2,2,2,0,2,3,38,2,0,94,88,2,3,1,83,232,0,51
1,9,51,30,2,3,6,6,6,2,53,2,0,59,24,5,4,0,75,130,0,68
1,2,83,12,2,2,6,6,2,1,29,2,2,66,-8,6,1,2,89,147,0,55
0,5,120,35,0,4,1,7,8,4,14,2,2,3,-8,6,1,0,47,336,0,87
1,18,106,22,0,2,6,6,6,0,46,2,0,64,65,5,3,3,90,264,0,68
1,7,69,31,0,3,4,4,6,1,33,2,0,35,68,6,3,1,59,233,0,70
0,5,60,9,0,4,1,7,8,2,44,2,1,60,95,2,2,0,80,254,0,75
1,12,67,13,2,2,6,6,4,1,53,2,4,50,80,3,5,0,90,321,0,70
0,13,75,20,0,3,1,6,6,0,20,2,0,41,44,4,2,1,43,165,0,77
1,6,72,19,0,3,4,4,6,3,42,2,0,35,85,6,2,0,73,232,0,73
0,4,126,32,4,2,2,4,6,3,11,2,0,37,74,16,2,0,95,273,0,60
1,8,85,26,0,4,1,7,8,3,38,2,0,16,65,4,4,0,59,324,0,77
0,6,105,32,0,4,1,7,8,2,41,2,0,36,54,3,4,1,58,220,0,80
1,5,60,41,0,4,1,7,8,4,23,2,4,2,-8,3,1,1,29,161,0,82
1,9,70,8,0,4,1,7,8,3,50,2,0,38,91,2,2,0,80,176,0,83
1,7,114,27,1,2,5,5,3,3,32,2,0,66,-8,6,1,1,88,321,0,65
1,3,73,15,0,2,5,6,6,2,53,2,1,17,64,2,4,0,67,140,0,77
1,5,138,18,0,2,5,6,6,2,25,2,0,55,-8,7,0,1,80,409,0,66
1,36,104,11,0,4,1,7,8,0,58,2,2,4,50,1,2,0,75,191,1,84
1,9,50,23,4,2,6,6,2,4,41,2,0,70,93,8,3,1,100,152,0,59
1,6,125,8,3,1,5,6,5,2,27,2,0,80,-8,2,1,1,60,253,0,66
1,26,159,8,2,1,5,6,2,0,14,2,0,33,-8,1,0,1,33,234,0,63
1,7,67,42,0,4,1,7,8,2,49,2,1,50,86,4,7,1,69,250,0,73
0,15,71,39,0,4,1,6,8,0,31,2,0,19,66,8,3,1,50,173,0,77
0,9,38,10,0,4,1,7,8,2,20,2,0,10,-8,2,1,0,50,81,0,79
1,9,71,25,1,3,4,4,6,3,38,2,3,58,84,3,3,0,67,164,0,64
1,12,108,37,0,3,3,4,6,1,43,2,1,68,58,5,3,2,80,282,0,67
1,6,82,14,0,2,5,5,6,2,60,2,0,16,44,3,4,0,78,290,0,80
1,4,90,31,1,3,5,6,4,3,18,2,2,5,95,4,3,0,47,279,0,74
0,5,64,34,0,4,1,7,8,1,37,2,0,83,-8,6,1,3,100,196,0,70
1,7,50,2,1,2,6,6,3,1,67,2,0,-8,-8,0,1,0,100,77,0,65
1,16,76,9,2,2,6,6,2,0,27,2,0,66,-8,4,0,2,57,184,0,69
1,4,49,21,0,3,6,6,6,2,36,2,2,42,47,3,2,1,56,94,0,73
0,4,21,13,0,3,1,6,6,6,23,2,4,33,61,5,3,0,73,74,0,66
0,5,88,23,0,4,1,7,8,3,46,2,1,45,88,6,2,1,89,219,0,73
0,11,72,25,0,4,1,7,8,1,24,2,1,7,23,1,2,0,50,198,0,80
1,7,57,45,1,3,4,3,5,1,53,2,3,69,85,6,12,3,78,175,0,58
0,8,114,31,0,4,1,7,8,2,33,2,0,1,91,2,2,0,36,369,0,88
0,2,54,20,1,2,5,5,5,2,52,2,2,42,94,4,2,2,86,159,0,64
1,3,84,35,0,2,6,5,6,3,32,2,1,68,-8,9,2,3,85,174,0,62
1,39,96,13,0,2,6,6,6,0,8,2,0,40,5,10,1,1,85,144,0,73
1,4,95,12,0,4,1,7,8,3,15,2,0,22,-8,3,0,0,43,266,0,86
1,17,183,21,1,2,3,3,5,0,52,2,3,24,-8,3,2,0,100,375,0,66
0,3,62,22,0,3,5,6,6,3,35,2,4,25,100,3,2,1,45,338,0,69
1,22,66,14,3,2,3,4,5,0,30,2,0,62,66,5,4,0,90,118,0,58
1,6,102,30,0,4,1,7,8,2,13,2,1,39,95,7,2,4,53,255,0,75
1,21,118,15,1,3,6,6,5,0,41,2,2,48,-8,3,1,0,83,291,0,75
1,9,69,30,0,4,1,7,8,2,20,2,1,31,94,5,2,2,39,288,0,70
1,14,35,11,0,4,1,7,8,0,36,2,0,2,-8,2,1,0,50,122,0,83
1,9,39,18,0,4,1,7,8,2,28,2,2,73,-8,3,1,0,100,72,0,72
0,6,119,44,0,4,1,7,8,3,68,2,2,4,67,5,8,2,76,294,0,84
1,10,69,27,0,4,1,7,8,3,44,2,2,95,59,4,4,2,100,220,0,68
0,7,107,32,1,3,1,5,7,3,31,2,0,42,2,3,2,1,75,269,0,76
1,15,88,9,0,4,1,7,8,0,44,2,0,0,-8,0,1,0,50,133,0,82
0,13,17,4,0,4,1,7,8,0,50,2,4,120,83,1,2,1,75,21,1,62
1,10,64,16,0,4,1,7,8,1,38,2,2,20,44,2,3,1,50,106,0,79
1,5,76,20,0,4,1,7,8,2,35,2,3,69,17,2,2,1,63,191,1,77
1,4,57,46,0,3,5,6,6,3,28,2,0,3,45,3,2,0,45,247,0,82
0,7,49,15,1,2,6,6,4,2,44,2,1,69,81,4,3,2,78,120,0,64
0,2,96,40,1,2,6,6,2,3,37,2,11,75,58,8,6,4,71,343,0,68
1,14,57,5,6,2,6,6,2,0,29,2,2,100,-8,1,1,1,100,123,0,57
1,4,41,6,0,4,1,7,8,1,67,2,4,56,101,2,1,0,100,78,0,75
0,14,80,13,0,4,1,7,8,0,85,2,1,0,87,0,2,0,67,149,0,84
0,5,65,24,0,4,1,7,8,1,38,2,1,68,80,3,7,1,71,123,0,73
0,6,58,41,0,3,1,6,6,5,60,2,0,6,90,3,10,0,64,162,0,80
1,14,70,16,3,2,4,2,4,0,21,2,3,10,2,3,2,0,56,115,0,61
1,3,93,8,1,2,6,6,4,3,18,2,1,15,-8,4,1,0,86,244,0,79
0,41,140,19,0,4,1,7,8,0,11,2,0,7,-8,3,1,0,36,353,0,89
0,4,47,32,0,4,1,7,8,3,22,2,3,16,42,7,2,1,64,128,0,76
1,3,45,12,1,2,3,0,2,4,21,2,2,9,-8,4,1,0,56,150,0,64
